"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"452","Draymond Green","Golden State Warriors","11/16/16",2016,4,2,50,"missed shot","Driving Floating Jump Shot","2PT Field Goal",5,"Toronto Raptors",-14,56,46
"453","Draymond Green","Golden State Warriors","11/13/16",2016,1,4,17,"made shot","Driving Floating Jump Shot","2PT Field Goal",8,"Phoenix Suns",4,82,8
"454","Draymond Green","Golden State Warriors","10/30/16",2016,4,8,17,"missed shot","Driving Floating Jump Shot","2PT Field Goal",5,"Phoenix Suns",10,51,40
"455","Draymond Green","Golden State Warriors","12/25/16",2016,4,3,49,"made shot","Driving Floating Jump Shot","2PT Field Goal",7,"Cleveland Cavaliers",-58,41,45
"456","Draymond Green","Golden State Warriors","11/16/16",2016,3,3,56,"missed shot","Driving Hook Shot","2PT Field Goal",5,"Toronto Raptors",-29,51,33
"457","Draymond Green","Golden State Warriors","11/10/16",2016,3,0,44,"missed shot","Driving Hook Shot","2PT Field Goal",2,"Denver Nuggets",1,26,36
"458","Draymond Green","Golden State Warriors","3/16/17",2016,2,0,26,"made shot","Driving Hook Shot","2PT Field Goal",8,"Orlando Magic",4,80,24
"459","Draymond Green","Golden State Warriors","3/24/17",2016,3,11,34,"made shot","Driving Layup Shot","2PT Field Goal",2,"Sacramento Kings",-19,23,25
"460","Draymond Green","Golden State Warriors","12/1/16",2016,1,6,5,"made shot","Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",6,21,6
"461","Draymond Green","Golden State Warriors","1/16/17",2016,2,11,34,"made shot","Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",2,13,13
"462","Draymond Green","Golden State Warriors","3/18/17",2016,4,5,47,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Milwaukee Bucks",-12,21,43
"463","Draymond Green","Golden State Warriors","3/2/17",2016,3,1,25,"made shot","Driving Layup Shot","2PT Field Goal",0,"Chicago Bulls",2,7,35
"464","Draymond Green","Golden State Warriors","2/11/17",2016,2,2,29,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",28,3,22
"465","Draymond Green","Golden State Warriors","11/21/16",2016,3,9,15,"made shot","Driving Layup Shot","2PT Field Goal",2,"Indiana Pacers",12,16,27
"466","Draymond Green","Golden State Warriors","3/2/17",2016,1,0,56,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",22,16,12
"467","Draymond Green","Golden State Warriors","2/11/17",2016,4,4,44,"missed shot","Driving Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",1,-6,44
"468","Draymond Green","Golden State Warriors","2/13/17",2016,2,8,53,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Denver Nuggets",22,16,16
"469","Draymond Green","Golden State Warriors","3/6/17",2016,1,9,57,"made shot","Driving Layup Shot","2PT Field Goal",2,"Atlanta Hawks",19,7,3
"470","Draymond Green","Golden State Warriors","10/25/16",2016,1,2,58,"made shot","Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-16,11,10
"471","Draymond Green","Golden State Warriors","1/8/17",2016,4,10,40,"made shot","Driving Layup Shot","2PT Field Goal",1,"Sacramento Kings",10,11,38
"472","Draymond Green","Golden State Warriors","3/28/17",2016,3,10,52,"made shot","Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",20,7,26
"473","Draymond Green","Golden State Warriors","1/6/17",2016,4,6,47,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-17,21,42
"474","Draymond Green","Golden State Warriors","1/29/17",2016,4,2,50,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",25,13,46
"475","Draymond Green","Golden State Warriors","11/28/16",2016,4,6,55,"missed shot","Driving Layup Shot","2PT Field Goal",1,"Atlanta Hawks",6,13,42
"476","Draymond Green","Golden State Warriors","2/1/17",2016,2,1,47,"made shot","Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",1,11,23
"477","Draymond Green","Golden State Warriors","12/8/16",2016,1,9,37,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Utah Jazz",27,7,3
"478","Draymond Green","Golden State Warriors","11/18/16",2016,4,1,29,"missed shot","Driving Layup Shot","2PT Field Goal",1,"Boston Celtics",-14,11,47
"479","Draymond Green","Golden State Warriors","12/1/16",2016,2,2,17,"made shot","Driving Layup Shot","2PT Field Goal",1,"Houston Rockets",10,7,22
"480","Draymond Green","Golden State Warriors","11/16/16",2016,2,0,31,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Toronto Raptors",-20,18,24
"481","Draymond Green","Golden State Warriors","3/14/17",2016,4,3,7,"missed shot","Driving Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",14,13,45
"482","Draymond Green","Golden State Warriors","11/4/16",2016,4,6,35,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",0,21,42
"483","Draymond Green","Golden State Warriors","12/8/16",2016,3,4,27,"missed shot","Driving Layup Shot","2PT Field Goal",3,"Utah Jazz",32,8,32
"484","Draymond Green","Golden State Warriors","3/5/17",2016,2,1,34,"made shot","Driving Layup Shot","2PT Field Goal",1,"New York Knicks",10,-1,23
"485","Draymond Green","Golden State Warriors","10/30/16",2016,3,10,51,"missed shot","Driving Layup Shot","2PT Field Goal",1,"Phoenix Suns",4,16,26
"486","Draymond Green","Golden State Warriors","3/14/17",2016,2,4,45,"made shot","Driving Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",2,8,20
"487","Draymond Green","Golden State Warriors","1/20/17",2016,3,11,51,"made shot","Driving Layup Shot","2PT Field Goal",3,"Houston Rockets",-38,11,25
"488","Draymond Green","Golden State Warriors","3/16/17",2016,3,7,26,"made shot","Driving Layup Shot","2PT Field Goal",0,"Orlando Magic",1,3,29
"489","Draymond Green","Golden State Warriors","3/5/17",2016,4,10,8,"made shot","Driving Layup Shot","2PT Field Goal",1,"New York Knicks",-19,3,38
"490","Draymond Green","Golden State Warriors","12/30/16",2016,2,4,8,"made shot","Driving Layup Shot","2PT Field Goal",0,"Dallas Mavericks",4,3,20
"491","Draymond Green","Golden State Warriors","3/2/17",2016,1,8,54,"missed shot","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",-27,11,4
"492","Draymond Green","Golden State Warriors","12/23/16",2016,4,1,31,"made shot","Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,47
"493","Draymond Green","Golden State Warriors","12/7/16",2016,3,7,7,"made shot","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,29
"494","Draymond Green","Golden State Warriors","2/4/17",2016,4,11,23,"made shot","Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,37
"495","Draymond Green","Golden State Warriors","3/28/17",2016,2,2,7,"made shot","Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,22
"496","Draymond Green","Golden State Warriors","1/28/17",2016,2,2,1,"made shot","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,22
"497","Draymond Green","Golden State Warriors","12/25/16",2016,4,6,31,"made shot","Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,42
"498","Draymond Green","Golden State Warriors","1/18/17",2016,3,9,57,"made shot","Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,27
"499","Draymond Green","Golden State Warriors","11/25/16",2016,3,7,16,"made shot","Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,29
"500","Draymond Green","Golden State Warriors","11/9/16",2016,2,2,53,"missed shot","Fadeaway Bank shot","2PT Field Goal",14,"Dallas Mavericks",128,72,22
"501","Draymond Green","Golden State Warriors","1/20/17",2016,4,11,26,"missed shot","Fadeaway Jump Shot","2PT Field Goal",10,"Houston Rockets",105,3,37
"502","Draymond Green","Golden State Warriors","2/25/17",2016,3,11,44,"missed shot","Fadeaway Jump Shot","2PT Field Goal",17,"Brooklyn Nets",128,121,25
"503","Draymond Green","Golden State Warriors","2/23/17",2016,1,11,9,"missed shot","Fadeaway Jump Shot","2PT Field Goal",8,"Los Angeles Clippers",-73,46,1
"504","Draymond Green","Golden State Warriors","11/4/16",2016,2,5,22,"made shot","Finger Roll Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-15,1,19
"505","Draymond Green","Golden State Warriors","12/25/16",2016,3,6,29,"made shot","Finger Roll Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",-4,-5,30
"506","Draymond Green","Golden State Warriors","12/20/16",2016,2,4,40,"made shot","Floating Jump shot","2PT Field Goal",12,"Utah Jazz",2,120,20
"507","Draymond Green","Golden State Warriors","11/9/16",2016,1,11,39,"missed shot","Floating Jump shot","2PT Field Goal",9,"Dallas Mavericks",-1,97,1
"508","Draymond Green","Golden State Warriors","1/28/17",2016,2,10,35,"missed shot","Floating Jump shot","2PT Field Goal",10,"Los Angeles Clippers",6,105,14
"509","Draymond Green","Golden State Warriors","3/6/17",2016,3,4,54,"missed shot","Floating Jump shot","2PT Field Goal",3,"Atlanta Hawks",33,13,32
"510","Draymond Green","Golden State Warriors","3/26/17",2016,3,0,33,"missed shot","Floating Jump shot","2PT Field Goal",10,"Memphis Grizzlies",-91,51,36
"511","Draymond Green","Golden State Warriors","3/24/17",2016,2,1,56,"made shot","Floating Jump shot","2PT Field Goal",6,"Sacramento Kings",2,65,23
"512","Draymond Green","Golden State Warriors","1/6/17",2016,2,5,52,"made shot","Floating Jump shot","2PT Field Goal",12,"Memphis Grizzlies",91,90,19
"513","Draymond Green","Golden State Warriors","10/25/16",2016,2,7,22,"missed shot","Floating Jump shot","2PT Field Goal",6,"San Antonio Spurs",-1,61,17
"514","Draymond Green","Golden State Warriors","11/28/16",2016,3,6,33,"missed shot","Floating Jump shot","2PT Field Goal",4,"Atlanta Hawks",-1,47,30
"515","Draymond Green","Golden State Warriors","11/7/16",2016,4,3,51,"missed shot","Floating Jump shot","2PT Field Goal",9,"New Orleans Pelicans",89,39,45
"516","Draymond Green","Golden State Warriors","11/16/16",2016,4,4,1,"missed shot","Floating Jump shot","2PT Field Goal",6,"Toronto Raptors",9,61,44
